GOVERNED,THATTIMEOFYEARTHOUMA,ZVVXK VQHUT TIREX KUIHE 
INKWELLS,BUTBECONTENTEDWHENTH,JHDXI NZFBR XPIOH ZMADD 
BELTINGS,SOAREYOUTOMYTHOUGHTS,TSLKM LUMUS XRBUU MHLEL 
ALLUVIUM,WHYISMYVERSESOBARREN,WSJCN USHEC DYNWV MRCPH 
QUAFFING,THYGLASSWILLSHOWTHEE,JBYLQ IFYMC LQXPB CJBEJ 
WEEKDAYS,SOOFTHAVEIINVOKEDTHE,OSSPW HYNAM MXYOI WZXLO 
DIFFUSES,WHILSTIALONEDIDCALLU,ZPNQM LMSOW SJXAH UDTQZ 
FORESEEN,OHOWIFAINTWHENIOFYOU,TVFAA JEVSH NLWRM BKMFY 
ERASABLE,ORISHALLLIVEYOUREPIT,SIIKH BWPPZ VWYPF VIGIL 
TINKLING,IGRANTTHOUWERTNOTMAR,BOEKY BGNHC JOCBA UMUNB 
RESIGNED,INEVERSAWTHATYOUDIDP,ZRWDK EWDNX ZIZLS XUMVX 
NARROWER,WHOISITTHATSAYSMOSTW,JHFZG EXKUA KJOUW DBSKN 
LONESOME,MYTONGUETIEDMUSEINMA,XMGSF UGIEW RHEIE ITBZE 
ABEYANCE,WASITTHEPROUDFULLSAI,WBWGT GJIPS SSDSW PLTEG 
BURBLING,FAREWELLTHOUARTTOODE,GUIFH MYRUB FVLZG ZPIUF 
EXCUSING,WHENTHOUSHALTBEDISPO,AEGHL PBAWE CFLJR JMPRI 
SWAPPING,SAYTHATTHOUDIDSTFORS,KWYIW IGZZK USXLF ZXKRH 
DEAFNESS,THENHATEMEWHENTHOUWI,WLESU ELWPI WMRRL ZRYWN 
ANTONYMS,SOMEGLORYINTHEIRBIRT,SBFST JAJYV GHUCU JBVKH 
IRONICAL,BUTDOTHYWORSTTOSTEAL,JLHQW VHJEF FFBVO DBVOY 
KNITTING,SOSHALLILIVESUPPOSIN,CBAAT TYOVV DXLCC VYFQG 
STUBBLED,THEYTHATHAVEPOWERTOH,LAYZU SEWZT PFQZA HJMII 
PURSUING,HOWSWEETANDLOVELYDOS,WINKQ MRZPH UDIDR RNXFK 
QUASHING,SOMESAYTHYFAULTISYOU,IIMWZ ILZXS FSBTG OISOM 
WELCOMER,HOWLIKEAWINTERHATHMY,DSHNW WIRSM YVSDL RPLXA 
REPORTED,FROMYOUHAVEIBEENABSE,WVDAP HYKRZ TWSXI QRFHS 
MILITATE,THEFORWARDVIOLETTHUS,FPPNH RPEDL GQHLX XFPFA 
BRANDISH,WHEREARTTHOUMUSETHAT,XYEEH IJAUY OHPCK LUYAG 
DETAINED,OTRUANTMUSEWHATSHALL,RXKUI AXPXW XWPNX VKEEL 
HYACINTH,MYLOVEISSTRENGTHENDT,TWLQD RBZZR RGVTM OLLDV 
REUSABLE,ALACKWHATPOVERTYMYMU,RPUUK XSEKT INESE CDCGM 
HECKLING,TOMEFAIRFRIENDYOUNEV,ASOOQ IVXMV KOYLL UBRGF 
HAIRLINE,LETNOTMYLOVEBECALLDI,SEBEZ BZCSO DVMMP ESLLZ 
OATCAKES,WHENINTHECHRONICLEOF,KHXPI XXZSC ATOXM UZEHH 
CONFIRMS,WHENINTHECHRONICLEOF,YVRSQ EFZGQ UWWEU UNSBK 
MAINSAIL,NOTMINEOWNFEARSNORTH,ZOBZA NMZIN NRSRA YARBU 
OVERPASS,WHATSINTHEBRAINTHATI,KCEKH IFLVZ FIPIF LVVXZ 
ACCOLADE,ONEVERSAYTHATIWASFAL,OPGJP RVEYV JOEIZ ESHCZ 
PARASOLS,ALASTISTRUEIHAVEGONE,PLRSL WDLGU VIZOG WVOEE 
ARBITRAL,OFORMYSAKEDOYOUWITHF,OWPZF PSLKV EWRFU HIKIN 
BEGINNER,YOURLOVEANDPITYDOTHT,ZSAZY BZVBR JXVGC UPXNB 
FRICTION,SINCEILEFTYOUMINEEYE,XZVEX QZRKK GQNUW AJVGG 
GRABBING,ORWHETHERDOTHMYMINDB,UIWIF BUKXU OUIUL SOEDC 
WINDSOCK,THOSELINESTHATIBEFOR,PPBVW ZKXAA GKSHK LANBU 
DEDUCING,LETMENOTTOTHEMARRIAG,OIWGG VBZWS WBGUN XUMDA 
ENOUNCES,ACCUSEMETHUSTHATIHAV,EPQOF GQWXU IMGJE LMUOP 
LETTERED,LIKEASTOMAKEOURAPPET,WMDXE JXRXE DXSLV DATXM 
STREAKER,WHATPOTIONSHAVEIDRUN,OARXP YXZGG JLAFI ZVKLR 
REGALITY,THATYOUWEREONCEUNKIN,KLGTJ WNUVV KOYKX SEOON 
COLONELS,TISBETTERTOBEVILETHA,VWDPR XEWTH ZPRZT DGHSO 
SECRETES,THYGIFTTHYTABLESAREW,LLAXM YXLZC VRFEI KSVGN 
RESTARTS,NOTIMETHOUSHALTNOTBO,ESLBM VMZFY KAACM FFXTH 
OBLIVION,IFMYDEARLOVEWEREBUTT,WGXGY MOEZP GMRMF RPVEB 
RELEASES,WERETAUGHTTOMEIBORET,NICIT SYYYX ESMWM TFVPX 
DIOPTRES,OTHOUMYLOVELYBOYWHOI,RBVDN DCDRD SARSS QZPCX 
SCRIMPED,INTHEOLDAGEBLACKWASN,APKPQ DPGSI VJXPG NOCJV 
COSSETED,HOWOFTWHENTHOUMYMUSI,JCOGJ MAKGB LZSNQ BOIKA 
SILVERED,THEEXPENSEOFSPIRITIN,LPPZB GIQKM ZAWGM UABTI 
CENSURED,MYMISTRESSEYESARENOT,OCZAM KVHUW RQYJE UGRBL 
MILDEWED,THOUARTASTYRANNOUSSO,FPZXE NXDEB JUEJR RGADR 
PROBLEMS,THINEEYESILOVEANDTHE,IYWOP IKWHZ ZPGIM FSKVF 
DAIRYMEN,BESHREWTHATHEARTTHAT,EEAYP QAGKA BYCMV GWHIK 
COLUMNED,SONOWIHAVECONFESSDTH,UCYII VLDXS NIZSI VUREB 
COSTUMED,WHOEVERHATHHERWISHTH,YVGXP QVKCH ZAYDA LUVLA 
ENGINEER,IFTHYSOULCHEQUETHEET,MSZPL WSLPP NMDYI KLRKB 
TESTABLE,THOUBLINDFOOLLOVEWHA,MLGNB MTRWJ GHLMZ ZXAZT 
GRATUITY,WHENMYLOVESWEARSTHAT,CYEGG GEMBV SPYIK QZYAM 
EMIGRATE,OCALLNOTMETOJUSTIFYT,SOIRC NHXQQ BUAUL XMRGZ 
HUMANIST,BEWISEASTHOUARTCRUEL,IYIIF MSLAB AUNZL VYOQL 
MANGROVE,INFAITHIDONOTLOVETHE,UNSGZ HCMPO AUKZJ ZQTUK 
GLASNOST,LOVEISMYSINANDTHYDEA,RZVWV GERYT NSARL AEOES 
PLUCKIER,LOASACAREFULHOUSEWIF,AZUUK KEITQ ONRWY JTHCH 
HERALDED,TWOLOVESIHAVEOFCOMFO,AAFLZ YIVPL RVPRJ FVQWO 
PITFALLS,THOSELIPSTHATLOVESOW,IPHXE WTHHB AFTWZ NTAHB 
SLITHERS,POORSOULTHECENTREOFM,HZWKZ SLDLS MVLRK JWZNF 
TRUNCATE,MYLOVEISASAFEVERLONG,FPFBX EBWTJ USGVX VEFHT 
LYRICIST,OMEWHATEYESHATHLOVEP,ZKVEJ ILXJC JPCBZ EZTVX 
NASTIEST,CANSTTHOUOCRUELSAYIL,PAFLB XZHHO UKCID LNYAE 
TRAUMATA,OFROMWHATPOWERHASTTH,HWRIY WAAMG OQQRA ALKTB 
AMBIANCE,LOVEISTOOYOUNGTOKNOW,LAWMI FVSOK PCNTV SKZPE 
LITIGATE,INLOVINGTHEETHOUKNOW,TVEWB IGKEP XMZHH YVVHE 
MUSTACHE,CUPIDLAIDBYHISBRANDA,OOHBD NHMPV QAIUI VMHVT 
EXERTING,THELITTLELOVEGODLYIN,XEICB BGRII SMXOB JPVME 
TOASTING,FROMFAIRESTCREATURES,YFOEY IVXXG TUKMN ZNFEK 
REFILLED,WHENFORTYWINTERSSHAL,NLJVQ ZVWPA NVEPV VJLFT 
DISPROVE,LOOKINTHYGLASSANDTEL,OWGZZ BOLBO DPJGV RGBWA 
SUNSPOTS,UNTHRIFTYLOVELINESSW,MHGZG WYLQF BNTZB FWMFO 
DILUTION,THOSEHOURSTHATWITHGE,WPZMX PCHUA EBTBK VWPRY 
BULKIEST,THENLETNOTWINTERSRAG,UBPXT ILGPN HSVXW KTLLQ 
HOSANNAS,LOINTHEORIENTWHENTHE,SCANG UEGYW WNGJH WUHZE 
PARDONED,MUSICTOHEARWHYHEARST,BUJLQ GSKTA IZVLL HPRJW 
UNGUIDED,ISITFORFEARTOWETAWID,CFONN RVIYN XNWZI WUJOX 
CLEANSER,FORSHAMEDENYTHATTHOU,HZVSU SQVFP RYGZE KVSSU 
BANQUETS,ASFASTASTHOUSHALTWAN,BSSQM XTKUH BKMLT DUWND 
HAIRCARE,WHENIDOCOUNTTHECLOCK,DHMEK DFGVU VKVHV GSOKB 
CENSURES,OTHATYOUWEREYOURSELF,QXUSN PSMYI EWSFY JUIYX 
INKSTAND,NOTFROMTHESTARSDOIMY,VBDXK OZWPR CLTRF GWVWQ 
CYCLISTS,WHENICONSIDEREVERYTH,YFGYQ UHFUG FPZWO WTWVS 
DIALECTS,BUTWHEREFOREDONOTYOU,ECTHL GKWIW RPHQG GWGOF 
HUMANOID,WHOWILLBELIEVEMYVERS,DBAWV ZTELF UEISU BCYDS 
DESIGNER,SHALLICOMPARETHEETOA,VLSTR VGFPT SZKGL VHXGI 
BATHETIC,DEVOURINGTIMEBLUNTTH,EEOVY KQPHT BTIUT WOTMO 
BONFIRES,AWOMANSFACEWITHNATUR,BKBRI EWXBQ RBQKL FBHHW 
HELPMATE,SOISITNOTWITHMEASWIT,ZSTHU TGSAA TITMX EZATI 
UNEDITED,MYGLASSSHALLNOTPERSU,GLKOI LWVBN POVHX SYEWX 
PACKAGED,ASANUNPERFECTACTORON,PSCXU TTHGF GMTGG WDRQX 
ALIGHTED,MINEEYEHATHPLAYDTHEP,MTVKL RIKAE PVSTC GTSMV 
ARTEFACT,LETTHOSEWHOAREINFAVO,LVMXM OUXWY HEWEK GFROS 
STARRING,LORDOFMYLOVETOWHOMIN,DHRUF NZEDH VVKWJ NGFIE 
COSTLESS,WEARYWITHTOILIHASTEM,YSSKJ AALJH GBWMZ SUHWF 
INFUSION,HOWCANITHENRETURNINH,PBBWS VWGPR SLWBI EVVSB 
FOOTSORE,WHENINDISGRACEWITHFO,BVSGA BUMXU FTUSN MYVTH 
INCLINED,WHENTOTHESESSIONSOFS,EUGYB BXKMF GDAVS QABHD 
RELINKED,THYBOSOMISENDEAREDWI,KLJJB CSPZW PVQOE UVHHQ 
ANYTHING,IFTHOUSURVIVEMYWELLC,ISRAV CFARI GOLUL CEYJV 
REWARDED,FULLMANYAGLORIOUSMOR,WYHLD DRBRK HOILS XJQKR 
COUNCILS,WHYDIDSTTHOUPROMISES,YVSQK LDLVV IHRZZ EKGYF 
DRYSTONE,NOMOREBEGRIEVEDATTHA,QFKGK SOIJI GWOSQ EWKFS 
SPROCKET,LETMECONFESSTHATWETW,DTKAG MSGXT JGVRE MOTKK 
STOCKILY,ASADECREPITFATHERTAK,SLOFO KCCHB HHKBS CJMOM 
TRIBUTES,HOWCANMYMUSEWANTSUBJ,AFEDU GQQFL AFQTR LLLJK 
DRIPPING,OHOWTHYWORTHWITHMANN,RYWLI PLCRI BWLQG NPRVC 
UNDULATE,TAKEALLMYLOVESMYLOVE,NNNYL LEQSY RPPSF CFBYY 
PAVILION,THOSEPETTYWRONGSTHAT,IHJAP XSGIY RZZVU FIHVB 
VALIDITY,THATTHOUHASTHERITISN,OHLBW PHSCA DBKMK GOIDV 
PRETTILY,WHENMOSTIWINKTHENDOM,LYIGF WDRXN MGDBS CCUSF 
CLANKING,IFTHEDULLSUBSTANCEOF,KQTUO LHRND UOCBN TEPOS 
OVERLAID,THEOTHERTWOSLIGHTAIR,HCIFE HMUHR SJWIO KHVMI 
EIGHTIES,MINEEYEANDHEARTAREAT,QQTLX GISRL NLTZX SVMGA 
TODDLING,BETWIXTMINEEYEANDHEA,USWZT FGSBB HHJMN TWVHD 
DALLYING,HOWCAREFULWASIWHENIT,KOHNY ZRLXL HLQQJ NHNTE 
PLATOONS,AGAINSTTHATTIMEIFEVE,PRABB GGLWL TMWAR AUPVX 
HARANGUE,HOWHEAVYDOIJOURNEYON,OONHR GPCKO ZJBAL RLYFN 
BLANDEST,THUSCANMYLOVEEXCUSET,USUFF EFFZW OIHIP VVDEG 
MELTDOWN,SOAMIASTHERICHWHOSEB,ESLFL OOGTI CBFVS UAWPU 
FLATNESS,WHATISYOURSUBSTANCEW,BSAMV WQGZC SNOWL SSNEP 
FREAKISH,OHOWMUCHMOREDOTHBEAU,TYSWW CUORF VENWL OGVEU 
WATERMEN,NOTMARBLENORTHEGILDE,JOMQR DFYAN HVKTI TELWI 
GARBLING,SWEETLOVERENEWTHYFOR,YWVFE TBBKR VOPEG NEFFS 
SCANTIER,BEINGYOURSLAVEWHATSH,TGIAZ GSLJU LNOMA YSVSU 
SKINNING,THATGODFORBIDTHATMAD,LRIGT WQLGB JVQBU GLWIQ 
RIBOSOME,IFTHEREBENOTHINGNEWB,ZNUVW FQFVV PHZWZ KEMXP 
RADISHES,LIKEASTHEWAVESMAKETO,CINMS ZXZVW DDWZQ SBEWW 
BETROTHS,ISITTHYWILLTHYIMAGES,JWBKH AFOJP EKVRP EBKXJ 
DETECTED,SINOFSELFLOVEPOSSESS,VMGSH LIOIP HZGIS VVILW 
COLLARED,AGAINSTMYLOVESHALLBE,CULTN JXPAZ ZGEJL DNZMP 
BOARDERS,WHENIHAVESEENBYTIMES,XVEEL LRNFG EVQFP LJAEJ 
GRIPPING,SINCEBRASSNORSTONENO,YZVRT JEGYJ VDGAG UTVVD 
DEPICTED,TIREDWITHALLTHESEFOR,WMGMF PMWKE ATVAI VHJDZ 
SCHEDULE,AHWHEREFOREWITHINFEC,SJDLH LPJGT LALNS MFHLG 
VORTEXES,THUSISHISCHEEKTHEMAP,OVLLM PLANQ YXIHX ZZARI 
STRANDED,THOSEPARTSOFTHEETHAT,LAFSR SEULL FFGKI HLART 
ACQUAINT,THATTHOUARTBLAMEDSHA,TJQNT PBNAT JVLIZ XDUXU 
DEAFENED,NOLONGERMOURNFORMEWH,QSLTR TIUPS UWRSS UPIWM 
FOOTWEAR,OLESTTHEWORLDSHOULDT,TZSLP XHVBC FEZWH FZZRM 
CRANNIES,THATTIMEOFYEARTHOUMA,VYAGG QQWQW YRNZX ZQLMN 
CHOOSERS,BUTBECONTENTEDWHENTH,DBHPW GFFVL BHWHN ZGUHV 
MIGRAINE,SOAREYOUTOMYTHOUGHTS,EWGIE GBYFW SPTPB YSPZJ 
DRIVEWAY,WHYISMYVERSESOBARREN,ZYGDW IYTHI AZWKB YUIMI 
GLADIOLI,THYGLASSWILLSHOWTHEE,ZSYJT ODACT LOAVZ EZSEH 
ODOMETER,SOOFTHAVEIINVOKEDTHE,GRCRX AEMSL WZZHO VRWVQ 
WHIZZKID,WHILSTIALONEDIDCALLU,SOQKR DQDHV VDCSL FWSTT 
UNDERSEA,OHOWIFAINTWHENIOFYOU,IURAZ XEIHG ZLVFM OZLRY 
GRANULAR,ORISHALLLIVEYOUREPIT,UIIFB LLCRZ VRSZU IKGIG 
GROMMETS,IGRANTTHOUWERTNOTMAR,OXFMZ XMZUL KQDXG GZDOD 
THERMALS,INEVERSAWTHATYOUDIDP,BUIMQ RDSPA LRFYZ MWPHG 
QUELLING,WHOISITTHATSAYSMOSTW,MBSTD QGZXU XDLGF SEMXH 
VAMPIRES,MYTONGUETIEDMUSEINMA,HYFDV XYWOI QSULW WDNYP 
RECHARGE,WASITTHEPROUDFULLSAI,NEUPT KNIGV QBDWA PCWCP 
SUMMONED,FAREWELLTHOUARTTOODE,XUDQK RPOLB AGOEX WGIPQ 
SUSPECTS,WHENTHOUSHALTBEDISPO,OBWCX JHMKB SAXDX VAMHD 
COVERING,SAYTHATTHOUDIDSTFORS,UOTXY IGZJC PHZLF ZHCMW 
CRAMMING,THENHATEMEWHENTHOUWI,VYEZT IGKOV WTQVG NQLWU 
TAKEAWAY,SOMEGLORYINTHEIRBIRT,LOWIG HOPRI XXHAI PUIBX 
KENTUCKY,BUTDOTHYWORSTTOSTEAL,LYGWI VRWGS ELNVY QDINE 
NUMSKULL,SOSHALLILIVESUPPOSIN,FIEZK FWTYC HWCOA ABMUF 
GUZZLING,THEYTHATHAVEPOWERTOH,ZBDXE PNZNU UDAWJ KXNNG 
SERVANTS,HOWSWEETANDLOVELYDOS,ZSNNW RXLSR UGOIX DQHFN 
PRICKING,SOMESAYTHYFAULTISYOU,HFUGC ILZWP NCETG OHPWW 
SAVIOURS,HOWLIKEAWINTERHATHMY,ZORTW EVSOI IBSLY SLHHG 
DIALYSIS,FROMYOUHAVEIBEENABSE,IZOXW GCZDD ETZWM FDJSP 
DEMEANED,THEFORWARDVIOLETTHUS,WLQJO EADUH HMOYI WWLGW 
TOKENISM,WHEREARTTHOUMUSETHAT,PVOVR IJFMV YYZCK QMVKX 
TOURISTY,OTRUANTMUSEWHATSHALL,HHLLI FMKNG YNPSM QAOFC 
AFRICANS,MYLOVEISSTRENGTHENDT,MDCWX EVKSY IMPGG ZESUB 
SAFETIES,ALACKWHATPOVERTYMYMU,SLFGD ELSLP TZXZX QEYRY 
COPULATE,TOMEFAIRFRIENDYOUNEV,VCBYQ ABVHF XYYDR SWBTP 
AMBUSHED,LETNOTMYLOVEBECALLDI,LQUHG AQBLA WYTLG DLXEC 
ASPERITY,WHENINTHECHRONICLEOF,WZTRZ VMFEU WVFVB ALWDJ 
CHUCKING,WHENINTHECHRONICLEOF,YOYPS VGNGJ BTYVV INLIH 
STAGINGS,NOTMINEOWNFEARSNORTH,FHTSQ AKGOG FKIEY FGKTN 
WAVERERS,WHATSINTHEBRAINTHATI,SHVXJ MELDE WVRME LDAOM 
ALGEBRAS,ONEVERSAYTHATIWASFAL,OYKZF ISSYE NEUZW SSQGP 
LIFEBELT,ALASTISTRUEIHAVEGONE,LTFWU MDMCC JMIEG XRWSI 
PRIMATES,OFORMYSAKEDOYOUWITHF,DWWDM RWSZV LAYHY OXKPR 
AESTHETE,YOURLOVEANDPITYDOTHT,YSMKS SOIAR VIPXR HOXZM 
JEALOUSY,SINCEILEFTYOUMINEEYE,BMNNS CDCOX YZIGA LNIYP 
VACUOLES,ORWHETHERDOTHMYMINDB,JRYBS ELWMD QNVXC EDNFV 
FINANCED,THOSELINESTHATIBEFOR,YPBSR NMQJA GHNVM EJNBR 
REMEDIED,LETMENOTTOTHEMARRIAG,CIFQH VSWKS FLHUE UIMMK 
SUBURBAN,ACCUSEMETHUSTHATIHAV,SWDOJ FMRLB VMKIA GABBP 
RESEMBLE,LIKEASTOMAKEOURAPPET,CMCIM TESDE CIAVC EGTWX 
TEENAGED,WHATPOTIONSHAVEIDRUN,PLEGP UXLHR WUABI LWVYA 
GUIDANCE,THATYOUWEREONCEUNKIN,ZBIWY BWAKL MRNPG YTEQQ 
MANDIBLE,TISBETTERTOBEVILETHA,FIFEM UEIDT BEMWT PQTUD 
SUBMERGE,THYGIFTTHYTABLESAREW,LBZSM WZXZS UMFCK WSLFI 
FEBRUARY,NOTIMETHOUSHALTNOTBO,SSUZG EKFTY TYULK LTXCF 
MECHANIC,IFMYDEARLOVEWEREBUTT,UJOFD RITXS XLWRZ GNYVA 
HALOGENS,WERETAUGHTTOMEIBORET,DECSZ EHYOT ECSIV TVRPH 
STRAFING,OTHOUMYLOVELYBOYWHOI,GMYOZ ULRGO VLDJB EOAFI 
UNSEEMLY,INTHEOLDAGEBLACKWASN,CALLI AWBUT WFPMN IQNKR 
DOUGHNUT,HOWOFTWHENTHOUMYMUSI,KCQUM GQAHB NNVHG RPIMO 
GIGGLING,THEEXPENSEOFSPIRITIN,ZPKKI XRTYM ULDXV XOBOT 
UNDERLIE,MYMISTRESSEYESARENOT,GLPMJ EZIMF HCVDI VYARX 
EXCLUDED,THOUARTASTYRANNOUSSO,XEQFU UXDWQ ACUQR RYPUZ 
SORROWED,THINEEYESILOVEANDTHE,LVZES ACHKW CFJAE QVHYV 
MISERIES,BESHREWTHATHEARTTHAT,NMKLI MALTI LLVIV LFPSX 
UNCOMBED,SONOWIHAVECONFESSDTH,MBPCI JLDPR ECZGI VMQVV 
PERSPIRE,WHOEVERHATHHERWISHTH,LLFWK MILPX YZTZN MHLKZ 
OBVIATES,IFTHYSOULCHEQUETHEET,WGOPY LSMZD CMQNI LVFZB 
SLUSHIER,THOUBLINDFOOLLOVEWHA,LSIMI TMEVQ IGSTS MWHBS 
GLOOMIER,WHENMYLOVESWEARSTHAT,CSSBY GPFBP GKQIV JZSOH 
DIVULGED,OCALLNOTMETOJUSTIFYT,RKVFW TSWPM OIUAW WLNTN 
BULKHEAD,BEWISEASTHOUARTCRUEL,CYHSZ IAVUB ZEHVT FSOPV 
PROFFERS,INFAITHIDONOTLOVETHE,XETFN XYASF BTYPF NTKVJ 
APPENDIX,LOVEISMYSINANDTHYDEA,LDKIV VUVSX CEAGB EYSTE 
HANDICAP,LOASACAREFULHOUSEWIF,SONVI EAGLF HOPQU HLWVI 
SILKIEST,TWOLOVESIHAVEOFCOMFO,LEZVW ZWLAP LFMSX VGUQY 
SNEAKERS,THOSELIPSTHATLOVESOW,LUSSO PZHKG LADPF NWFSW 
POLITELY,POORSOULTHECENTREOFM,ECZZL SFJIV PKXRE PTCQU 
DIGESTER,MYLOVEISASAFEVERLONG,PGRSN XMJDA GJWOI IOWTK 
GERMINAL,OMEWHATEYESHATHLOVEP,UQVIP NTPEI JTIGH WUZVB 
EXULTANT,CANSTTHOUOCRUELSAYIL,GXHDM TUHYL WCNEY LEVCW 
CANDIDLY,OFROMWHATPOWERHASTTH,QFERU ZSYVP BZMUS YUTGK 
CAPACITY,LOVEISTOOYOUNGTOKNOW,NOKEK AMMQY DUPOM MMNDW 
GLADNESS,INLOVINGTHEETHOUKNOW,OYLRI MFYZS EHGLG MQYOZ 
FESTOONS,CUPIDLAIDBYHISBRANDA,HYHBR ZNAIF QAWGO JFRVT 
DUNGHILL,THELITTLELOVEGODLYIN,WBRRP BEWHF BBLOZ OOSVT 
CARBOLIC,FROMFAIRESTCREATURES,HRFNT LQTGS KDFPI VWRVT 
OUTWEIGH,WHENFORTYWINTERSSHAL,KBXJJ WXAMQ BJXMX ZGBTH 
CEILIDHS,LOOKINTHYGLASSANDTEL,NSWVQ QAZAK TLAVH FFXMW 
PLEASURE,UNTHRIFTYLOVELINESSW,JYXHJ CWXNW SVWFZ RTDWW 
BLUSTERS,THOSEHOURSTHATWITHGE,USIKX LFMSD NZTXN AUSAW 
ANIMATES,THENLETNOTWINTERSRAG,TUMZL XXFOG EUNMI JSEIS 
HECTARES,LOINTHEORIENTWHENTHE,SSKGT YIGYM GGTNL WUXJX 
BLEACHES,MUSICTOHEARWHYHEARST,NFWIE ASZFL VWJFL WBCWT 
PARAQUAT,ISITFORFEARTOWETAWID,XSZTV IRYTA ITEQE MPWZD 
AIRFIELD,FORSHAMEDENYTHATTHOU,FWIXP EXHDM EDBLL WTPFZ 
ORIGINAL,ASFASTASTHOUSHALTWAN,OJNGA GADHY WAAUA WHNIT 
TEXTURAL,WHENIDOCOUNTTHECLOCK,PLBGC UONHY KMNYE NESZD 
SAFENESS,OTHATYOUWEREYOURSELF,GTMEG CGMOE WILSM JKEQJ 
SNIGGERS,NOTFROMTHESTARSDOIMY,FBBLX SDLZR AZGVJ VGVUE 
HACIENDA,WHENICONSIDEREVERYTH,DHGVM PRNZI FMVRY EYYVP 
FLATTEST,BUTWHEREFOREDONOTYOU,GFTPA IJXKZ RXWSF HYJON 
CLINGERS,WHOWILLBELIEVEMYVERS,YSWJO PCTGW QRBID QXPZF 
WAITRESS,SHALLICOMPARETHEETOA,OHIEC MUGIP IKVXZ WATWT 
INFLECTS,DEVOURINGTIMEBLUNTTH,LRAZY TBFOG NXIDE MVGYS 
MISFIELD,AWOMANSFACEWITHNATUR,MEGRI RDIMK WBQXS QMBMW 
PENDULUM,SOISITNOTWITHMEASWIT,HSVVC EHAIA VWBXY MHAVW 
STIRRUPS,MYGLASSSHALLNOTPERSU,EROCR MHKZT TCEII HWKAL 
TARTNESS,ASANUNPERFECTACTORON,TSRGH RHWKF VVGEU LHRFG 
HUMBLEST,MINEEYEHATHPLAYDTHEP,TCZFP CWAHN TQWEQ WABQQ 
MOVEABLE,LETTHOSEWHOAREINFAVO,XSOXH PDIIV JERFT RROQS 
OBSTACLE,LORDOFMYLOVETOWHOMIN,ZPJWO HXCZP NXTQH LCNAG 
TRAMPLES,WEARYWITHTOILIHASTEM,PVADN HMLAK OUATL SLKEY 
DEFINING,HOWCANITHENRETURNINH,KSBKN VVZKI SZRBH XQMSP 
REVAMPED,WHENINDISGRACEWITHFO,NLZNU CHLJK MAOTA LKLAO 
FEASIBLE,WHENTOTHESESSIONSOFS,BLEFB PELJW EKAJZ RXSFK 
ORIENTED,THYBOSOMISENDEAREDWI,HYGFB LSPWJ MRQXE USUEM 
NOBLEMEN,IFTHOUSURVIVEMYWELLC,VTUSS GWHEJ JGIYC JRZMN 
FLYOVERS,FULLMANYAGLORIOUSMOR,KFJZH EEQFR JCMMF MXXMF 
MANTISSA,WHYDIDSTTHOUPROMISES,IHLWQ VKTFH BNXJG MUSRL 
INSULTED,NOMOREBEGRIEVEDATTHA,VBEIC XFHOE AYGXH DBGZU 
SUFFIXED,LETMECONFESSTHATWETW,DYYRM ZSQXY XXBEE WOYYB 
IMPOSING,ASADECREPITFATHERTAK,IEPRW KEKXU ITSBU KZFPY 
STEROIDS,HOWCANMYMUSEWANTSUBJ,ZHATO VPQEN WVKIQ LKNFA 
INHERITS,OHOWTHYWORTHWITHMANN,WUVAK PROWE ALNQM ZUNUR 
MAGAZINE,TAKEALLMYLOVESMYLOVE,FAQEZ TYQKL UVDAZ CXOBE 
LEAFLESS,THOSEPETTYWRONGSTHAT,ELOXP TWLEC WWZRY KELAY 
SPROUTED,THATTHOUHASTHERITISN,LWRHN ASXZP JHBXV LLXJB 
JOYFULLY,WHENMOSTIWINKTHENDOM,FVCSG ZDRRK GSEES CWRMR 
REFOLDED,IFTHEDULLSUBSTANCEOF,ZJYVP GYOCW ZPDWE QTITT 
CHECKING,THEOTHERTWOSLIGHTAIR,VOIQD PRXVD SUVQT NVHMT 
ANTERIOR,MINEEYEANDHEARTAREAT,MVGIV GSRNQ AIRZH RRRTX 
POWDERED,BETWIXTMINEEYEANDHEA,QSPZM OXPXB AHCVE QSVAD 
ABUNDANT,HOWCAREFULWASIWHENIT,HPQPD RRYUM QNVIJ AEOCG 
GAZELLES,AGAINSTTHATTIMEIFEVE,GGZMY DXLNA SXTXI ALEUI 
ATTEMPTS,HOWHEAVYDOIJOURNEYON,HHPLQ POQDH BNAJK FERHR 
GARGOYLE,THUSCANMYLOVEEXCUSET,ZHLYQ YYQEL FBSCI GASVZ 
HEADLOCK,SOAMIASTHERICHWHOSEB,ZSAPT OUDOI RLNVY RVWEE 
ENTHRONE,WHATISYOURSUBSTANCEW,AUTAZ GLSYE LBSGG ERPXD 
DERISIVE,OHOWMUCHMOREDOTHBEAU,RLFEE CXLPS IMVWO LEIRC 
SANDWICH,NOTMARBLENORTHEGILDE,FOGPW ZDSWN BUPPG NALQH 
SCANDALS,SWEETLOVERENEWTHYFOR,KYERW LZNWT EAHWE ZQHOE 
SYNAPTIC,BEINGYOURSLAVEWHATSH,TCVNV RWWJQ YAKXE JSRFH 
BREAKINS,THATGODFORBIDTHATMAD,UYETQ WQXPI FINBU SUDED 
KNEELING,IFTHEREBENOTHINGNEWB,SSXLP ZRHOA SXSQA MXRAF 
